host,ip,port,protocol,title,domain,country,city,link,as_organization
45.152.66.111:8089,45.152.66.111,8089,http,,,CN,Hong Kong,http://45.152.66.111:8089,LUCIDACLOUD LIMITED
https://119.29.233.136,119.29.233.136,443,https,,,CN,Hong Kong,https://119.29.233.136,Shenzhen Tencent Computer Systems Company Limited
119.29.140.186:8888,119.29.140.186,8888,http,,,CN,Hong Kong,http://119.29.140.186:8888,Shenzhen Tencent Computer Systems Company Limited
119.29.23.200:8181,119.29.23.200,8181,http,,,CN,Hong Kong,http://119.29.23.200:8181,Shenzhen Tencent Computer Systems Company Limited
https://150.109.156.206,150.109.156.206,443,https,,,CN,Hong Kong,https://150.109.156.206,"Tencent Building, Kejizhongyi Avenue"
43.134.206.104:999,43.134.206.104,999,http,,,CN,Hong Kong,http://43.134.206.104:999,"Tencent Building, Kejizhongyi Avenue"
47.75.144.47:8080,47.75.144.47,8080,http,,,CN,Hong Kong,http://47.75.144.47:8080,"Alibaba US Technology Co., Ltd."
https://119.29.160.243,119.29.160.243,443,https,,,CN,Hong Kong,https://119.29.160.243,Shenzhen Tencent Computer Systems Company Limited
119.29.152.4:8099,119.29.152.4,8099,http,,,CN,Hong Kong,http://119.29.152.4:8099,Shenzhen Tencent Computer Systems Company Limited
119.29.209.214:8888,119.29.209.214,8888,http,,,CN,Hong Kong,http://119.29.209.214:8888,Shenzhen Tencent Computer Systems Company Limited
https://103.139.1.252,103.139.1.252,443,https,,,CN,Hong Kong,https://103.139.1.252,West263 International Limited
119.29.218.182:8880,119.29.218.182,8880,http,,,CN,Hong Kong,http://119.29.218.182:8880,Shenzhen Tencent Computer Systems Company Limited
https://103.254.220.56,103.254.220.56,443,https,,,CN,Hong Kong,https://103.254.220.56,"SiChuan Century LiXin Financial Management Consulting Co., LTD"
103.139.1.252:8808,103.139.1.252,8808,http,,,CN,Hong Kong,http://103.139.1.252:8808,West263 International Limited
https://119.29.244.241,119.29.244.241,443,https,,,CN,Hong Kong,https://119.29.244.241,Shenzhen Tencent Computer Systems Company Limited
119.29.180.100,119.29.180.100,80,http,,,CN,Hong Kong,http://119.29.180.100,Shenzhen Tencent Computer Systems Company Limited
https://43.154.14.135,43.154.14.135,443,https,,,CN,Hong Kong,https://43.154.14.135,"Tencent Building, Kejizhongyi Avenue"
114.134.189.129:8181,114.134.189.129,8181,http,,,CN,Hong Kong,http://114.134.189.129:8181,"High Family Technology Co., Limited"
119.29.160.243:8081,119.29.160.243,8081,http,,,CN,Hong Kong,http://119.29.160.243:8081,Shenzhen Tencent Computer Systems Company Limited
